rownames,year,age,race,sex,educ,relactiv,pid,abortion
46971,2006,49.0,White,Female,12.0,1.0,3.0,1.0
46975,2006,64.0,White,Female,13.0,1.0,1.0,1.0
46981,2006,38.0,White,Male,14.0,2.0,5.0,1.0
46983,2006,38.0,Other,Female,11.0,1.0,4.0,1.0
46986,2006,61.0,White,Female,12.0,1.0,3.0,1.0
46987,2006,34.0,White,Female,17.0,8.0,6.0,1.0
46990,2006,27.0,Black,Female,16.0,8.0,3.0,1.0
46992,2006,54.0,Black,Female,14.0,2.0,2.0,1.0
46994,2006,70.0,Black,Female,12.0,8.0,0.0,1.0
46997,2006,50.0,White,Female,14.0,1.0,1.0,1.0
47001,2006,36.0,White,Male,16.0,2.0,4.0,1.0
47002,2006,62.0,White,Female,12.0,7.0,2.0,1.0
47006,2006,44.0,Other,Female,13.0,3.0,0.0,1.0
47011,2006,44.0,Other,Female,16.0,5.0,0.0,1.0
47012,2006,37.0,White,Male,17.0,1.0,2.0,1.0
47015,2006,48.0,Other,Female,16.0,8.0,4.0,1.0
47016,2006,36.0,Black,Male,14.0,1.0,3.0,1.0
47017,2006,33.0,White,Female,14.0,1.0,5.0,1.0
47018,2006,25.0,White,Female,12.0,2.0,3.0,1.0
47019,2006,50.0,White,Male,12.0,1.0,5.0,1.0
47022,2006,48.0,Other,Male,16.0,4.0,1.0,1.0
47026,2006,19.0,Other,Female,11.0,8.0,1.0,1.0
47027,2006,40.0,White,Female,14.0,8.0,5.0,1.0
47030,2006,27.0,White,Male,14.0,1.0,2.0,1.0
47031,2006,55.0,White,Female,16.0,1.0,0.0,1.0
47033,2006,55.0,Other,Male,10.0,4.0,2.0,1.0
47036,2006,55.0,Other,Male,12.0,1.0,3.0,1.0
47039,2006,76.0,White,Male,17.0,2.0,5.0,1.0
47040,2006,63.0,White,Female,17.0,1.0,0.0,1.0
47041,2006,46.0,White,Female,13.0,1.0,5.0,1.0
47045,2006,36.0,Other,Female,18.0,1.0,1.0,1.0
47046,2006,72.0,White,Female,16.0,1.0,3.0,1.0
47050,2006,55.0,Other,Male,20.0,2.0,1.0,1.0
47052,2006,34.0,Other,Male,12.0,1.0,1.0,1.0
47053,2006,28.0,Other,Female,16.0,1.0,1.0,1.0
47055,2006,42.0,Black,Female,12.0,1.0,2.0,1.0
47056,2006,42.0,Other,Male,18.0,1.0,2.0,1.0
47059,2006,49.0,Other,Male,16.0,1.0,0.0,1.0
47060,2006,59.0,White,Male,13.0,8.0,2.0,1.0
47061,2006,62.0,White,Male,16.0,3.0,4.0,1.0
47062,2006,55.0,White,Male,18.0,8.0,3.0,1.0
47063,2006,36.0,White,Male,18.0,1.0,2.0,1.0
47064,2006,49.0,White,Female,12.0,1.0,1.0,1.0
47068,2006,41.0,White,Female,16.0,1.0,4.0,1.0
47072,2006,40.0,White,Female,13.0,1.0,0.0,1.0
47078,2006,41.0,Other,Female,0.0,3.0,3.0,1.0
47080,2006,51.0,White,Male,17.0,3.0,5.0,1.0
47083,2006,25.0,Other,Female,17.0,2.0,1.0,1.0
47085,2006,19.0,Other,Female,12.0,1.0,0.0,1.0
47086,2006,21.0,White,Male,14.0,2.0,1.0,1.0
47093,2006,54.0,White,Female,14.0,1.0,5.0,1.0
47098,2006,29.0,Other,Male,9.0,4.0,3.0,0.0
47099,2006,22.0,Other,Male,16.0,1.0,1.0,1.0
47101,2006,25.0,White,Female,12.0,1.0,3.0,0.0
47103,2006,57.0,Other,Female,16.0,3.0,1.0,1.0
47105,2006,43.0,White,Female,11.0,1.0,3.0,1.0
47113,2006,36.0,Other,Female,12.0,3.0,2.0,1.0
47115,2006,64.0,White,Female,12.0,1.0,1.0,1.0
47117,2006,44.0,White,Male,13.0,5.0,4.0,1.0
47121,2006,48.0,White,Female,12.0,3.0,6.0,1.0
47123,2006,75.0,White,Male,12.0,1.0,4.0,1.0
47125,2006,49.0,White,Female,16.0,5.0,0.0,1.0
47126,2006,44.0,White,Male,9.0,1.0,6.0,1.0
47130,2006,48.0,White,Male,18.0,1.0,0.0,1.0
47134,2006,47.0,White,Male,13.0,1.0,0.0,1.0
47135,2006,55.0,White,Female,18.0,1.0,1.0,1.0
47137,2006,54.0,Black,Female,14.0,4.0,2.0,1.0
47138,2006,49.0,Black,Male,15.0,1.0,0.0,1.0
47139,2006,36.0,Black,Male,14.0,3.0,0.0,1.0
47142,2006,42.0,Black,Female,14.0,8.0,0.0,1.0
47143,2006,64.0,Black,Female,13.0,3.0,2.0,1.0
47148,2006,69.0,White,Male,10.0,1.0,3.0,1.0
47150,2006,21.0,White,Female,15.0,4.0,3.0,1.0
47151,2006,62.0,White,Male,14.0,1.0,1.0,1.0
47153,2006,46.0,Other,Female,16.0,7.0,1.0,0.0
47155,2006,67.0,Black,Male,11.0,8.0,0.0,1.0
47160,2006,51.0,Black,Female,12.0,1.0,1.0,1.0
47167,2006,31.0,Black,Female,14.0,1.0,2.0,1.0
47168,2006,60.0,White,Female,14.0,1.0,0.0,1.0
47172,2006,35.0,White,Male,12.0,1.0,2.0,1.0
47173,2006,22.0,Black,Male,12.0,1.0,1.0,1.0
47174,2006,60.0,White,Female,12.0,3.0,0.0,1.0
47176,2006,57.0,White,Female,13.0,1.0,1.0,1.0
47178,2006,66.0,White,Female,16.0,6.0,3.0,1.0
47179,2006,80.0,White,Female,8.0,1.0,6.0,1.0
47181,2006,41.0,Black,Female,15.0,3.0,0.0,1.0
47182,2006,22.0,White,Male,15.0,3.0,1.0,1.0
47188,2006,37.0,White,Female,16.0,1.0,0.0,1.0
47189,2006,59.0,White,Female,14.0,5.0,6.0,1.0
47193,2006,65.0,White,Male,16.0,4.0,5.0,1.0
47196,2006,66.0,White,Female,16.0,1.0,5.0,1.0
47198,2006,48.0,White,Male,16.0,1.0,2.0,1.0
47201,2006,70.0,White,Female,14.0,1.0,5.0,1.0
47203,2006,64.0,White,Male,16.0,5.0,5.0,1.0
47204,2006,19.0,Other,Female,11.0,1.0,1.0,1.0
47208,2006,25.0,White,Male,16.0,1.0,0.0,1.0
47212,2006,48.0,White,Male,15.0,1.0,3.0,1.0
47213,2006,74.0,White,Male,9.0,5.0,5.0,1.0
47214,2006,46.0,White,Male,16.0,1.0,2.0,0.0
47215,2006,31.0,White,Female,13.0,5.0,1.0,1.0
47216,2006,29.0,Other,Female,12.0,1.0,3.0,1.0
47217,2006,58.0,White,Female,6.0,6.0,3.0,0.0
47218,2006,51.0,Black,Male,8.0,1.0,2.0,1.0
47219,2006,31.0,Other,Female,12.0,1.0,1.0,1.0
47220,2006,32.0,Black,Female,14.0,1.0,0.0,1.0
47221,2006,30.0,Black,Female,14.0,4.0,2.0,1.0
47222,2006,19.0,White,Male,10.0,1.0,2.0,1.0
47228,2006,63.0,White,Female,12.0,1.0,6.0,1.0
47231,2006,48.0,White,Male,12.0,3.0,3.0,1.0
47234,2006,81.0,White,Female,13.0,1.0,0.0,1.0
47242,2006,21.0,White,Male,14.0,5.0,0.0,0.0
47247,2006,42.0,White,Male,11.0,1.0,4.0,1.0
47248,2006,21.0,White,Male,12.0,1.0,3.0,1.0
47249,2006,43.0,White,Female,12.0,1.0,1.0,1.0
47250,2006,61.0,Black,Male,13.0,1.0,0.0,1.0
47251,2006,38.0,Other,Male,14.0,6.0,3.0,1.0
47252,2006,19.0,Black,Female,10.0,1.0,1.0,1.0
47255,2006,56.0,Black,Female,14.0,6.0,0.0,1.0
47256,2006,42.0,Black,Female,16.0,3.0,0.0,1.0
47262,2006,31.0,White,Male,12.0,1.0,3.0,1.0
47263,2006,46.0,Other,Female,18.0,8.0,3.0,0.0
47266,2006,73.0,White,Male,15.0,4.0,6.0,0.0
47267,2006,44.0,Other,Female,6.0,3.0,0.0,1.0
47271,2006,42.0,Other,Female,16.0,2.0,3.0,1.0
47277,2006,33.0,Other,Female,17.0,1.0,3.0,1.0
47279,2006,47.0,White,Female,12.0,1.0,3.0,1.0
47281,2006,89.0,Other,Female,5.0,3.0,3.0,1.0
47282,2006,34.0,Other,Female,19.0,3.0,2.0,1.0
47284,2006,22.0,White,Female,13.0,3.0,3.0,1.0
47287,2006,86.0,White,Female,12.0,1.0,0.0,1.0
47290,2006,58.0,Black,Female,12.0,2.0,0.0,1.0
47295,2006,49.0,Black,Female,11.0,7.0,0.0,1.0
47296,2006,25.0,Black,Female,12.0,5.0,2.0,0.0
47299,2006,67.0,Black,Female,15.0,8.0,0.0,1.0
47300,2006,30.0,Black,Female,11.0,8.0,2.0,1.0
47302,2006,48.0,Black,Female,18.0,10.0,0.0,1.0
47303,2006,43.0,Black,Female,16.0,1.0,1.0,0.0
47304,2006,78.0,White,Female,18.0,7.0,0.0,1.0
47308,2006,37.0,Other,Female,20.0,8.0,0.0,0.0
47311,2006,58.0,Black,Female,20.0,5.0,0.0,1.0
47314,2006,56.0,White,Female,12.0,1.0,5.0,1.0
47317,2006,21.0,White,Male,14.0,1.0,1.0,1.0
47319,2006,23.0,White,Male,17.0,1.0,3.0,1.0
47320,2006,41.0,White,Female,16.0,9.0,5.0,0.0
47321,2006,82.0,White,Female,12.0,1.0,0.0,1.0
47322,2006,50.0,White,Female,16.0,4.0,3.0,1.0
47328,2006,19.0,White,Male,9.0,1.0,2.0,1.0
47329,2006,24.0,White,Female,16.0,1.0,1.0,1.0
47331,2006,72.0,White,Female,12.0,8.0,5.0,1.0
47333,2006,45.0,Other,Female,13.0,1.0,2.0,1.0
47334,2006,53.0,Black,Male,11.0,7.0,0.0,0.0
47335,2006,63.0,Black,Female,13.0,7.0,0.0,1.0
47338,2006,58.0,White,Female,12.0,2.0,0.0,1.0
47339,2006,73.0,Black,Male,3.0,1.0,0.0,0.0
47340,2006,58.0,White,Male,14.0,5.0,4.0,1.0
47341,2006,28.0,White,Male,10.0,2.0,2.0,1.0
47343,2006,43.0,Black,Female,12.0,9.0,6.0,1.0
47346,2006,48.0,White,Female,9.0,6.0,6.0,1.0
47347,2006,56.0,Black,Male,15.0,8.0,2.0,1.0
47348,2006,26.0,White,Male,16.0,2.0,6.0,1.0
47349,2006,53.0,White,Male,14.0,1.0,4.0,1.0
47355,2006,44.0,White,Female,14.0,10.0,6.0,1.0
47356,2006,43.0,White,Female,12.0,1.0,5.0,1.0
47357,2006,45.0,White,Male,18.0,4.0,5.0,1.0
47362,2006,58.0,White,Female,12.0,3.0,3.0,1.0
47363,2006,53.0,White,Male,16.0,6.0,4.0,1.0
47364,2006,19.0,White,Male,13.0,2.0,3.0,0.0
47365,2006,25.0,Other,Male,14.0,4.0,4.0,1.0
47369,2006,38.0,Other,Female,6.0,4.0,3.0,0.0
47372,2006,28.0,White,Female,5.0,5.0,2.0,0.0
47373,2006,70.0,Black,Male,7.0,8.0,4.0,1.0
47375,2006,68.0,White,Female,11.0,1.0,0.0,1.0
47376,2006,28.0,Other,Male,11.0,1.0,3.0,1.0
47380,2006,54.0,White,Female,18.0,3.0,6.0,1.0
47381,2006,50.0,White,Female,13.0,1.0,5.0,1.0
47383,2006,44.0,White,Male,14.0,3.0,0.0,1.0
47384,2006,48.0,Black,Male,14.0,1.0,2.0,1.0
47385,2006,68.0,Black,Male,16.0,1.0,1.0,1.0
47392,2006,74.0,White,Female,14.0,8.0,6.0,1.0
47394,2006,42.0,Black,Female,16.0,5.0,1.0,1.0
47399,2006,35.0,Black,Male,18.0,1.0,0.0,1.0
47401,2006,41.0,Other,Male,16.0,4.0,3.0,0.0
47405,2006,55.0,Black,Female,14.0,6.0,0.0,1.0
47406,2006,38.0,White,Male,18.0,8.0,3.0,1.0
47409,2006,25.0,White,Female,13.0,1.0,3.0,1.0
47410,2006,38.0,Black,Male,13.0,1.0,3.0,1.0
47412,2006,39.0,White,Female,14.0,3.0,5.0,1.0
47413,2006,43.0,White,Female,9.0,1.0,3.0,1.0
47414,2006,40.0,Other,Female,14.0,5.0,0.0,1.0
47416,2006,46.0,Black,Female,12.0,6.0,0.0,1.0
47417,2006,36.0,Black,Male,11.0,2.0,3.0,1.0
47418,2006,32.0,Black,Female,14.0,1.0,0.0,1.0
47426,2006,55.0,Black,Male,14.0,3.0,1.0,1.0
47427,2006,37.0,Black,Female,14.0,4.0,0.0,1.0
47428,2006,50.0,White,Female,16.0,1.0,0.0,1.0
47429,2006,48.0,Other,Male,15.0,2.0,3.0,1.0
47430,2006,41.0,White,Female,14.0,1.0,0.0,1.0
47431,2006,34.0,White,Male,18.0,3.0,4.0,1.0
47437,2006,30.0,White,Female,16.0,1.0,3.0,1.0
47438,2006,62.0,White,Female,12.0,2.0,3.0,1.0
47439,2006,76.0,Black,Male,14.0,1.0,0.0,1.0
47443,2006,57.0,White,Female,0.0,6.0,0.0,0.0
47444,2006,47.0,Black,Female,14.0,3.0,0.0,1.0
47449,2006,85.0,Black,Female,6.0,4.0,1.0,0.0
47450,2006,51.0,Black,Female,18.0,6.0,0.0,1.0
47451,2006,66.0,Black,Female,16.0,8.0,0.0,1.0
47452,2006,30.0,Black,Female,12.0,3.0,2.0,1.0
47455,2006,55.0,Black,Male,14.0,3.0,2.0,1.0
47457,2006,55.0,Black,Female,14.0,4.0,1.0,1.0
47459,2006,63.0,Black,Male,12.0,1.0,0.0,1.0
47461,2006,79.0,White,Female,12.0,8.0,6.0,0.0
47462,2006,42.0,Other,Male,11.0,2.0,1.0,1.0
47463,2006,45.0,White,Male,0.0,5.0,3.0,1.0
47464,2006,31.0,White,Female,6.0,1.0,3.0,1.0
47465,2006,58.0,White,Female,12.0,1.0,3.0,1.0
47469,2006,56.0,Other,Female,0.0,7.0,3.0,1.0
47470,2006,46.0,White,Female,18.0,2.0,5.0,1.0
47472,2006,49.0,White,Male,16.0,5.0,6.0,1.0
47475,2006,32.0,Black,Female,19.0,5.0,3.0,1.0
47476,2006,79.0,White,Female,7.0,8.0,1.0,1.0
47478,2006,36.0,Other,Male,16.0,4.0,1.0,1.0
47479,2006,29.0,Other,Female,14.0,2.0,2.0,1.0
47480,2006,43.0,Other,Female,14.0,8.0,3.0,1.0
47482,2006,30.0,White,Female,18.0,1.0,4.0,0.0
47484,2006,48.0,Other,Male,16.0,1.0,0.0,1.0
47494,2006,42.0,Black,Female,16.0,4.0,0.0,1.0
47495,2006,40.0,White,Female,16.0,4.0,5.0,1.0
47496,2006,44.0,White,Male,16.0,2.0,5.0,1.0
47497,2006,52.0,White,Female,16.0,1.0,2.0,1.0
47498,2006,19.0,Black,Female,12.0,1.0,1.0,1.0
47500,2006,52.0,White,Male,12.0,2.0,5.0,1.0
47505,2006,33.0,White,Female,8.0,4.0,3.0,1.0
47507,2006,68.0,Black,Male,12.0,6.0,1.0,1.0
47510,2006,62.0,Black,Male,9.0,4.0,0.0,1.0
47515,2006,43.0,White,Male,16.0,3.0,5.0,1.0
47516,2006,52.0,White,Female,16.0,6.0,5.0,0.0
47517,2006,45.0,White,Male,20.0,2.0,5.0,1.0
47521,2006,45.0,White,Female,13.0,5.0,6.0,0.0
47523,2006,74.0,White,Female,17.0,1.0,3.0,1.0
47524,2006,59.0,Other,Female,12.0,1.0,1.0,1.0
47525,2006,49.0,White,Male,12.0,6.0,3.0,1.0
47526,2006,28.0,Other,Female,9.0,1.0,3.0,1.0
47530,2006,29.0,White,Female,16.0,1.0,1.0,1.0
47531,2006,53.0,Other,Male,1.0,1.0,3.0,1.0
47535,2006,39.0,White,Female,20.0,7.0,5.0,0.0
47537,2006,82.0,White,Male,12.0,1.0,3.0,1.0
47538,2006,34.0,Other,Male,7.0,1.0,3.0,1.0
47539,2006,20.0,Other,Male,13.0,4.0,0.0,1.0
47540,2006,61.0,Black,Female,14.0,4.0,0.0,1.0
47541,2006,29.0,Other,Female,12.0,1.0,4.0,0.0
47542,2006,39.0,Other,Male,12.0,1.0,2.0,1.0
47546,2006,53.0,White,Female,12.0,1.0,1.0,1.0
47548,2006,37.0,Other,Male,14.0,1.0,1.0,1.0
47552,2006,40.0,Other,Male,12.0,3.0,2.0,1.0
47556,2006,46.0,White,Male,12.0,4.0,5.0,1.0
47557,2006,46.0,Black,Female,15.0,6.0,1.0,0.0
47561,2006,43.0,Black,Female,14.0,4.0,0.0,1.0
47566,2006,36.0,White,Male,14.0,1.0,5.0,1.0
47570,2006,41.0,White,Female,19.0,4.0,3.0,1.0
47571,2006,58.0,White,Male,16.0,3.0,4.0,1.0
47579,2006,52.0,White,Male,14.0,4.0,1.0,1.0
47582,2006,32.0,Black,Female,12.0,1.0,3.0,1.0
47583,2006,24.0,White,Female,17.0,4.0,2.0,1.0
47585,2006,66.0,Other,Female,7.0,1.0,0.0,0.0
47591,2006,25.0,Other,Male,13.0,3.0,0.0,1.0
47599,2006,66.0,White,Male,16.0,3.0,2.0,1.0
47603,2006,76.0,White,Male,20.0,1.0,0.0,1.0
